Carapace data used for phylogenetic analysis,Mass data used for phylogenetic analysis,Max mass used?,Max SCL used?,Captive?,Combined populations?,Genus,Species,Common Name,Family,M Mass (g),F Mass (g),N,Locality,M SCL (mm),F SCL (mm),M Max Mass (g),F Max Mass (g),Pop Max Mass (g),M Max SCL (mm),F Max SCL (mm),Pop Max SCL (mm),KWR notes,Mass Source,SCL Original Source,SCL Dataset Source,secondary mass source,,,,,,
,,,,,,Chelodina ,oblonga,,Chelidae,,,,,228,255.9,,,,261,266.8,,,,(Kennett 1999; Georges et al. 2006),"Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
yes,,,,,,Chelodina ,parkeri,,Chelidae,,,,,254,289,,,,274,353,,,,(Georges et al. 2006) ,"Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
yes,,,yes,,,Chelodina ,pritchardi,,Chelidae,,,,,,,,,,186,228,,,,(Rhodin 1994),"Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
,yes,,,,,Chelonia,mydas,northeastern Pacific green turtle,Cheloniidae,57728.57,70055.56,"14M, 36F","Gulf of California, Mexico",792.84,843.32,76000,124000,124000,901.7,977.9,977.9,"note: I used turtles at 30 inch CL or higher as adults, generally mature at 27-31 in","Caldwell, D.K. 1962. Carapace length-body weight relationship and size and sex ratio of the northeastern Pacific green sea turtle, Chelonia mydas carrinegra. Los Angeles Co. Mus. Contri. Sci. 62:1-10.",,,,,,,,,
,,,,,,Chelonia,mydas,green seaturtle,Cheloniidae,147000,163440,"?M, 59F","Indian Ocean, females from Europa and Tromelin Islands, males from St. Brandon Island",1000,1053.1,,208800,,,1280,,,"Hughes, G.R. 1974. The Sea Turtles of South-east Africa. I. Status, Morphology and Distributions. Oceanographic Research Institute Investigational Report No. 36. Durban, S. Africa.",,,,,,,,,
,,,,,,Chelonia,mydas,,Cheloniidae,,,"367M, F1942",,1140,1240,,,,,,,,,Limpus 1993,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,,,,,,Chelonia,mydas ssp agassizi,,Cheloniidae,,,"49M, F171",,990,1070,,,,,,,,,Marquez 1990,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
yes,,,,,,Chelonia ,mydas,,Cheloniidae,,,,,887.8,962.8,,,,,,,,,"Gibbons & Lovich, 1990; Ernst et al., 2007","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
,,,,,,Chelonoidis,carbonaria,,Testudinidae,,,,,319.5,297,,,,,,,,,"Pritchard & Trebbau, 1984; Moskovits, 1988","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
yes,,,,,,Chelonoidis,carbonaria,,Testudinidae,,,"63M, F75",,405,395,,,,,,,,,Moskovits 1988,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,yes,,,,,Chelonoidis,carbonarius,red-footed tortoise,Testudinidae,5780,6087.5,"6M, 8F","Kaa-Iya National Park, Santa Cruz department, Bolivia",,,7000,9000,9000,,,,,"Montano F., R.R., E. Cuellar, L.A. Fitzgerald, F. Soria, F. Mendoza, R. Pena, T. Dosapey, S.L. Deem, and A.J. Noss. 2013. Ranging Patterns by the Red-footed Tortoise - Geochelone carbonaria (Testudines: Testudinidae) - in the Bolivian Chaco. Ecologia en Bolivia 48(1): 17-30.",,,,,,,,,
yes,,,,,,Chelonoidis,chilensis,,Testudinidae,,,"~ 34M, F~ 34",,239,275,,,,,,,,,Waller and Micucci 1997,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,yes,,,,,Chelonoidis,denticulata,,Testudinidae,3723,3675,< 10,"Cusco Amazonico, Peru",,,,,,,,,,"Duellman, W.E. 2005. Cusco Amazonico: the lives of amphibians and reptiles in an amazonian rainforest. Comstock Publishing Associates, Cornell University Press.",,,,,,,,,
,,,,,,Chelonoidis,denticulata,yellow-footed tortoise,Testudinidae,9000,8900,"1M, 4F","Mamiraua Sustainable Development Reserve, Amazonas state, Brazil",444,423,,10000,10000,503,465,503,note: 9&9 samples for CL,"Fachin-Teran, A., R.C. Vogt, and J.B. Thorbjarnarson. 2004. Patterns of Use and Hunting of Turtles in the Mamiraua Sustainable Development Reserve, Amazonas, Brazil. In: Kirsten M. Silvius, Richard E. Bodmer and Jose M.V. Fragoso (eds.). People in Nature: Wildlife Conservation in South and Central America. Pp. 362-377. Columbia University Press. ISBN: 0-231-12782-0.",,,,,,,,,
,,,,,,Chelonoidis,denticulata,,Testudinidae,,,,,386.3,349,,,,640,520,,,,"Pritchard & Trebbau, 1984; Moskovits, 1988; Stevenson et al., 2007","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
yes,,,,,,Chelonoidis,denticulata,,Testudinidae,,,"15M, F15",,442,400,,,,,,,,,Pritchard and Trebbau 1984,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
yes,,,,,,Chelonoidis,nigra,,Testudinidae,,,"19M, F40",,1092,793,,,,,,,,,Vandenburgh 1914,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,,,,,,Chelonoidis,spp. "domed morphotype",Galapagos tortoise,Testudinidae,,,,"Galapagos Islands, Ecuador",,,320000,100000,,1700,1200,,"note: maximum masses, represents multiple subspecies/species of Chelonoidis","Marquez, C., D. Wiedenfeld, H. Snell, T. Fritts, C. MacFarland, W. Tapia, and S. Naranjo. 2004. Population Status of Giant Land Tortoises (Geochelone spp., Chelonya: Testudinae) From the Galapagos Islands. Ecologia Aplicada 3(1,2): 98-111.",,,,,,,,,
,,,,,,Chelonoidis,spp. "saddle morphotype",Galapagos tortoise,Testudinidae,,,,"Galapagos Islands, Ecuador",,,85000,40000,,1000,700,,"note: maximum masses, represents multiple subspecies/species of Chelonoidis, male max varies by island","Marquez, C., D. Wiedenfeld, H. Snell, T. Fritts, C. MacFarland, W. Tapia, and S. Naranjo. 2004. Population Status of Giant Land Tortoises (Geochelone spp., Chelonya: Testudinae) From the Galapagos Islands. Ecologia Aplicada 3(1,2): 98-111.",,,,,,,,,
,,,,,,Chelus,fimbriatus,Matamata turtle,Chelidae,8600,11700,,Amazonia,,,,,,,,,,"Sanchez-Villagra, M.R., P.C.H. Pritchard, A. Paolillo, and O.J. Linares. 1995. Geographic variation in the matamata turtle, Chelus fimbriatus, with observations on its shell morphology and morphometry. Chelonian Conservation and Biology 1:293-300.",,,,,,,,,
,,,,yes,,Chelus,fimbriatus,Matamata turtle,Chelidae,3460,4470,"2M, 1F",,280,310,3560,,4470,285,,,note: captive raised weights,"Holmstrom, W.F. Jr. 1978. Preliminary Observations on Prey Herding in the Matamata Turtle, Chelus fimbriatus (Reptilia, Testudines, Chelidae). Journal of Herpetology 12(4): 573-574.",,,,,,,,,
,yes,,,,,Chelus,fimbriatus,Mata mata,Chelidae,3300,13000,"1M, 1F","Mamiraua Sustainable Development Reserve, Amazonas state, Brazil",292,417.5,,,,,430,430,,"Fachin-Teran, A., R.C. Vogt, and J.B. Thorbjarnarson. 2004. Patterns of Use and Hunting of Turtles in the Mamiraua Sustainable Development Reserve, Amazonas, Brazil. In: Kirsten M. Silvius, Richard E. Bodmer and Jose M.V. Fragoso (eds.). People in Nature: Wildlife Conservation in South and Central America. Pp. 362-377. Columbia University Press. ISBN: 0-231-12782-0.",,,,,,,,,
,,,,,,Chelus ,fimbriatus,,Chelidae,,,,,280,390.7,,,,,,,,,(Holmstrom 1978; Sanchez-Villagra et al. 1995) ,"Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
yes,,,,,,Chelus ,fimbriatus,,Chelidae,,,"26M, F19",,396,450,,,,,,,,,Pritchard 2008,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,,,,,,Chelydra,serpentina,snapping turtle,Chelydridae ,5700,4130,< 50,East Texas,,,,,,,,,,"Brian Fontenot, unpublished data",,,,,,,,,
,,,,,,Chelydra,serpentina,common snapping turtle,Chelydridae,8127,5371,12,"Hays Co., Texas",,,,,,,,,,"Janie Nelan, unpublished data",,,,,,,,,
,,,,,,Chelydra,serpentina,common snapping turtle,Chelydridae,4870.5,4830.5,"15M, 6F","Savannah River Plant and Capers Island, South Carolina",,,,,,,,,,"Congdon, J.D., J.L. Greene, and J.W. Gibbons. 1986. Biomass of Freshwater Turtles: A Geographic Comparison. American Midland Naturalist 115(1): 165-173.",,,,,,,,,
,yes,,,,,Chelydra,serpentina,common snapping turtle,Chelydridae,4158.7,3160,"97M, 80F","E. S. George Reserve, Livingston County, Michigan",253.4,238.3,,,,,,,,"Congdon, J.D., J.L. Greene, and J.W. Gibbons. 1986. Biomass of Freshwater Turtles: A Geographic Comparison. American Midland Naturalist 115(1): 165-173.",,,,,,,,,
,,,,,,Chelydra,serpentina,snapping turtle,Chelydridae,11460,7610,"46M, 51F","Santa Fe River drainage, northern Florida",359.8,324.7,20000,11750,20000,439,380,439,,"Johnston, G.R., E. Suarez, J.C. Mitchell, G.A. Shemitz, P.L. Butt, and M. Kaunert. 2012. Population ecology of the snapping turtle (Chelydra serpentina osceola) in a northern Florida river. Bulletin of the Florida Museum of Natural History 51(4): 243-256.",,,,,,,,,
yes,,,,,,Chelydra ,acutirostris,,Chelydridae,,,,,287.2,257.2,,,,410,312,,,,"Medem, 1962a; Medem 1962b; Dahl & Medem, 1964; Medem, 1977","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
,,,,,,Chelydra ,serpentina,,Chelydridae,,,,,279.4,259.6,,,,494,366,,,,"Gibbons & Lovich, 1990; Conant & Collins, 1998; Aresco & Gunzburger, 2007; Ernst & Lovich, 2009","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
yes,,,,,,Chelydra ,serpentina,,Chelydridae,,,"37M, F291",,432,384,,,,,,,,,Hammer 1969,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,yes,,,,,Chersina,angulata,angulate tortoise,Testudinidae,1022,879,"5M, 16F","West Coast National Park, Western Cape Province, South Africa",190,170,1216,1060,1216,202,185,202,,"Hofmeyr, M. 2004. Egg Production in Chersina angulata: An Unusual Pattern in a Mediterranean Climate. Journal of Herpetology 38(2):172-179.",,,,,,,,,
,,,,,,Chersina,angulata,angulate tortoise,Testudinidae,906.6,814.6,"101M, 81F","Dassen Island, South Africa ",181.9,161.3,1290,1080,1290,217,205,217,"SCL is from same population 11 years later, when average size of turtles seems to have increased ","van Heezik, Y.M., J. Cooper, and P.J. Seddon. 1994. Population Characteristics and Morphometrics of Angulate Tortoises on Dassen Island, South Africa. Journal of Herpetology 28(4): 447-453.",,,,,,,,,
yes,,,,,,Chersina,angulata,angulate tortoise,Testudinidae,916,813,,"southwestern Cape, South Africa",187,168,3939,,,351,,,"note: maximums from Dassen Island, it's significantly larger there","Hofmeyr, M.D. 2009. Chersina angulata (Schweigger 1812) - Angulate Tortoise, South African Bowsprit Tortoise. Chelonian Research Monograph 5: 30.1-30.6.",,,,,,,,,
,,,,,,Chersina,angulata,,Testudinidae,,,,,192.4,166.6,,,,272,216,,,,"Gibbons & Lovich, 1990; Boycott & Bourquin, 2000; Mann et al., 2006; Bonin et al., 2006","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
,,,,,,Chersina,angulata,,Testudinidae,,,"232M, F198",,217,205,,,,,,,,,Van Heezik et al. 1994,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,yes,,,,,Chitra,chitra,Asian softshell turtle,Trionychidae,88000,111000,,Thailand,,,,,,,,,,"Pritchard, P.C.H. 2012. Rafetus: the curve of extinction. Living Art Publishing, Ada, Oklahoma",,,,,,,,,
yes,,,,,,Chitra,chitra,,Trionychidae,,,,,865,912.5,,,,970,985,,,,"Kitimasak et al., 2003","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
,,,,,,Chitra,indica,narrow-headed softshell turtle,Trionychidae,17300,30200,~20,Bangladesh,558.3,644.4,25600,57000,57000,615,795,795,"note: only roughly corresponds to adults, may have excluded small adults","Das, I., and S. Singh. 2009. Chitra indica (Gray 1830) - Narrow-headed Softshell Turtle. Chelonian Research Monographs 5: 27.1-27.7.",,,,,,,,,
,yes,,,,,Chitra,indica,narrow-headed softshell turtle,Trionychidae,15000,18000,,"Orang National Park, Assam state, India",534,635,,,,555,710,710,CL are midpoint of range,"Baruah, C., P. Chetia, S.K. Bhuyan, and D.K. Sharma. 2012. Diversity of Freshwater Turtles and Their Possible Conservation in and Around the Orang National Park, Assam India. Tigerpaper 39(1): 24-30.",,,,,,,,,
,,,,,,Chitra,indica,,Trionychidae,,,,,546.3,589.7,,,,590,776,,,,"Hossain & Sarker, 1995b","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
yes,,,,,,Chitra,indica,,Trionychidae,,,"21M, F21",,615,795,,,,,,,,,Rashid and Swingland 1997,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,,,,,,Chrysemys,picta,painted turtle,Emydidae,176.9,326.7,"770M, 249F","E. S. George Reserve, Livingston County, Michigan",109.7,134.2,,,,,,,,"Congdon, J.D., J.L. Greene, and J.W. Gibbons. 1986. Biomass of Freshwater Turtles: A Geographic Comparison. American Midland Naturalist 115(1): 165-173.",,,,,,,,,
,,,,,,Chrysemys,picta,painted turtle,Emydidae,233.41,398.33,"17M, 18F","Davidson, North Carolina",127.2,147.2,,,,,,,,"Grayson, K.L., and M.E. Dorcas. 2004. Seasonal Temperature Variation in the Painted Turtle (Chrysemys picta). Herpetologica 60(3): 325-336.",,,,,,,,,
,,,,,,Chrysemys,picta,Eastern painted turtle,Emydidae,292.5,501.5,"62M, 122F","Arcadia National Park, Maine",,,,,,,,,,"Rhodin, A.G.J., & G.H. Mittelhauser. 1994. Maximum size and clutch records for eastern painted turtles, Chrysemys picta picta, from mid-coastal Maine. Chelonian Conservation and Biology 1:148-150.",,,,,,,,,
,,,,,,Chrysemys,picta,painted turtle,Emydidae,259,482,68,"Spring Creek, Benkelman, Dundy County, Nebraska",123,147,540,740,740,161,175,175,,"Iverson, J.B. 1982. Ontogenetic Changes in Relative Skeletal Mass in the Painted Turtle Chrysemys picta. Journal of Herpetology 16(4): 414-417.",,,,,,,,,
yes,,,,,,Chrysemys,picta,,Emydidae,,,"270M, F209",,165,185,,,,,,,,,Ream and Ream 1966,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,yes,,,,,Chrysemys,picta ssp. marginata,Midland Painted Turtles,Emydidae,286.4,422.3,"6M, 12F","Miller's Marsh, Beaver Island, Charlevoix County, Michigan",135.8,152.5,,,,,,,,"Rowe, J. 2003. Activity and Movements of Midland Painted Turtles (Chrysemys picta marginata) Living in a Small Marsh System on Beaver Island, Michigan. Journal of Herpetology 37(2):342-353.",,,,,,,,,
,,,,,,Chrysemys,picta ssp picta,painted turtle,Emydidae,139.15,302.5,"187M, 89F","near Dix Hill, Suffolk County, Long Island, NY",,,302,390,390,136,150,150,"Data is from males after 3rd year and females after 5th year, when sexual maturity is reached for each","Zweifel, R.G. 1989. Long-term ecological studies on a population of painted turtles Chrysemys picta on Long Island, New York. Am. Mus. Novit. 2952:1-55.",,,,,,,,,
,,,,,,Chrysemys,picta ssp. marginata,midland painted turtles,Emydidae,286.4,422.3,"6M, 12F","Miller's Marsh, Charlevoix County, Beaver Island, Michigan",135.8,152.5,,,,,,,,"Rowe, J.W. 2003. Activity and Movements of Midland Painted Turtles (Chrysemys picta marginata) Living in a Small Marsh System on Beaver Island, Michigan. Journal of Herpetology 37(2): 342-353.",,,,,,,,,
,,,,,,Chrysemys,picta ssp. marginata,midland painted turtles,Emydidae,291,418.7,"7M, 11F","Miller's Marsh, Beaver Island, Michigan",139.1,151.9,345,525,,146,157,,,"Rowe, J.W., and S.F. Dalgarn. 2010. Home Range Size and Daily Movements of Midland Painted turtles (Chrysemys picta marginata) in Relation to Body Size, Sex, and Weather Patterns. Herpetological Conservation and Biology 5(3): 461-473.",,,,,,,,,
,,,,,,Chrysemys ,picta,,Emydidae,,,,,127.8,161,,,,191,201.3,,,,"Ernst, 1971; Ewert & Nelson 1991; Lefevre & Brooks, 1995; Rowe, 1997; Stephens & Wiens, 2009 ","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
,,,,,,Claudius,angustatus,,Kinosternidae,,,,,,,,,,165,150,,,,"Iverson & Berry, 1980","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
,,,,,,Claudius,angustatus,,Kinosternidae,,,"118M, F132",,147,141,,,,,,,,,Flores-Villela and Zug 1995,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,,,,,,Clemmys,guttata,spotted turtle,Emydidae,158.99,165.39,"17M, 14F","White Oak Bird Sanctuary, Manheim, Lancaster County, Pennsylvania",,,196.7,199.1,199.1,,,,catheterized to remove urine before weighing,"Ernst, C.H. 1975. Growth of the Spotted Turtle, Clemmys guttata. Journal of Herpetology 9(3): 313-318.",,,,,,,,,
,,,,,,Clemmys,guttata,spotted turtle,Emydidae,168,190,"17M, 21F","Francis Beidler Forest, South Carolina",105.2,103.8,,,,,,,,"Rowe, J.W. and J.R. Gradel. 2013. Body size and sex ratio in a population of spotted turtles (Clemmys guttata) in southwestern Michigan. Herpetological Review 44:49-53.",,,,,,,,,
yes,,,,,,Clemmys,guttata,spotted turtle,Emydidae,219.8,212.2,"6M, 23F","Georgian Bay island, Ontario",117.9,108.9,,,,,,,,"Rowe, J.W. and J.R. Gradel. 2013. Body size and sex ratio in a population of spotted turtles (Clemmys guttata) in southwestern Michigan. Herpetological Review 44:49-53.",,,,,,,,,
,yes,,,,,Clemmys,guttata,spotted turtle,Emydidae,102.3,105.9,"28M, 47F",southwestern Michigan,87.5,88.2,150,200,200,105,114,114,,"Rowe, J.W. and J.R. Gradel. 2013. Body size and sex ratio in a population of spotted turtles (Clemmys guttata) in southwestern Michigan. Herpetological Review 44:49-53.",,,,,,,,,
,,,,,,Clemmys,guttata,,Emydidae,,,"15M, F25",,123,126,,,,,,,,,Graham 1995,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,,,,,,Clemmys ,guttata,,Emydidae,,,,,106.1,106.5,,,,118.5,120.6,,,,"Gibbons & Lovich, 1990; Haxton, 1998; Litzgus & Brooks, 1998; Seburn, 2003; Litzgus & Mousseau, 2004; Stephens & Wiens, 2009","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
,,,,,,Kinosternon,acuta,,Kinosternidae,,,,,,,,,,105,120,,,,"Iverson, 1981; Bonin et al., 2006","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
yes,,,,,,Kinosternon,acuta,,Kinosternidae,,,"25M, F27",,106,116,,,,,,,,,Iverson 1991,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,,,,,,Kinosternon,angustipons,,Kinosternidae,,,,,,,,,,115,120,,,,"Iverson, 1981; Bonin et al., 2006","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
yes,,,,,,Kinosternon,angustipons,,Kinosternidae,,,"?M, F?",,115,120,,,,,,,,,Ernst and Barbour 1989,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
yes,,,,,,Kinosternon,creaseri,,Kinosternidae,,,"15M, F11",,125,121,,,,,,,,,Iverson 1991,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,yes,yes,,,,Kinosternon,dunni,Dunn's mud turtle,Kinosternidae,,,,"Choco Department, Columbia",,,800,595,800,180,166,180,,"Iverson, J.B., J.L. Carr, O.V. Castano-Mora, C.A. Galvis-Rizo, L.E. Renteria-Moreno, and G. Forero-Medina. 2012. Kinosternon dunni Schmidt 1947 - Dunn's Mud Turtle, Cabeza de Trozo. Chelonian Research Monographs 5: 67.1-67.5.",,,,,,,,,
yes,,,yes,,,Kinosternon,dunni,,Kinosternidae,,,,,,,,,,175,150,,,,"Iverson, 1981; Bonin et al., 2006","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
,,,,,,Kinosternon,dunni,,Kinosternidae,,,"?M, F?",,175,150,,,,,,,,,Ernst and Barbour 1989,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,,,,,,Kinosternon,herrerai,,Kinosternidae,,,,,,,,,,170,150,,,,"Berry & Iverson, 1980; Bonin et al., 2006","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
yes,,,,,,Kinosternon,herrerai,,Kinosternidae,,,"48M, F58",,166,146,,,,,,,,,Iverson 1991,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,,,,,,Kinosternon,leucostomum,,Kinosternidae,,,,,175,153,,,,189.5,174.5,,,,"Vogt & Guzman, 1988","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
